date;user_count;weekly citywide penetration rate;amount of movements;average distance;Modularity;Residential;Radius of Gyration
2020-09-09 00:00:00;2387109;0,035375059;7324274;4,521456153;0,929930169;79,34471847;8,226611076
2020-09-10 00:00:00;2366213;0,035065397;7064374;4,609750972;0,930357591;79,17211158;8,48441175
2020-09-11 00:00:00;2433539;0,036063115;8076794;4,758942757;0,924427563;78,89872416;8,832964963
2020-09-12 00:00:00;2341008;0,034691879;7217732;4,711202857;0,930976699;79,96579198;9,944629143
2020-09-13 00:00:00;2241842;0,033222318;6022870;4,876660195;0,939517334;80,21263989;10,04710835
2020-09-14 00:00:00;2418457;0,035839612;7621217;4,789720173;0,927228746;79,04269002;8,712831312
2020-09-15 00:00:00;2401761;0,03559219;7520155;4,616784311;0,929346162;79,01137339;8,375563759
2020-09-16 00:00:00;2423871;0,035919843;7324274;4,521456153;0,927595361;78,92444274;8,226611076
2020-09-17 00:00:00;2430408;0,036016716;7837192;4,681285825;0,926769615;79,01109802;8,613174484
2020-09-18 00:00:00;2443390;0,036209099;8073257;4,706844251;0,924360753;79,01994047;8,739187653
2020-09-19 00:00:00;2342443;0,034713145;7098455;4,689022812;0,930401568;79,56526794;9,904705061
2020-09-20 00:00:00;2224696;0,032968228;5461176;4,361509386;0,94552501;80,52561568;9,119836895
2020-09-21 00:00:00;2415739;0,035799333;7310592;4,787784638;0,930106161;78,70953241;8,709347348
2020-09-22 00:00:00;2368903;0,035105261;6605233;4,557862933;0,936426818;79,17067339;8,269505279
2020-09-23 00:00:00;2417480;0,035825133;7493629;4,530351618;0,929442426;78,88525478;8,242622912
2020-09-24 00:00:00;2430452;0,036017368;7823367;4,550245485;0,926400674;78,89934576;8,377301873
2020-09-25 00:00:00;2448476;0,036284469;8114479;4,728403512;0,923714602;79,18336462;8,777994322
2020-09-26 00:00:00;2354541;0,034892427;7233096;4,643404726;0,930682821;80,20200654;9,822592508
2020-09-27 00:00:00;2251094;0,033359425;6132671;4,753494446;0,938726803;80,67456551;9,825410003
2020-09-28 00:00:00;2398970;0,03555083;7458233;4,814694824;0,927659663;79,21767316;8,757785682
2020-09-29 00:00:00;2406755;0,035666197;7642528;4,649743027;0,92751865;79,08612263;8,434889448
2020-09-30 00:00:00;2421425;0,035883595;7888365;4,722881755;0,926011908;78,78680138;8,589177159
2020-10-01 00:00:00;2428388;0,035986781;7904962;4,722633017;0,925252598;78,76910532;8,687599431
2020-10-02 00:00:00;2454842;0,036378809;8502081;4,802926751;0,920221065;78,81705294;8,912136152
2020-10-03 00:00:00;2370260;0,03512537;7381393;4,581790626;0,928104509;79,73365181;9,711687127
2020-10-04 00:00:00;2236232;0,033139182;5619896;4,503278109;0,942574815;80,31709977;9,375020597
2020-10-05 00:00:00;2427111;0,035967857;7750843;4,649859814;0,925781481;78,79650012;8,461082666
2020-10-06 00:00:00;2425398;0,035942472;7852825;4,653225006;0,926096465;78,70141291;8,44115701
2020-10-07 00:00:00;2439291;0,036148355;7994654;4,600953033;0,924801528;78,65512999;8,369705459
2020-10-08 00:00:00;2442535;0,036196429;8011850;4,669899156;0,924455479;78,61786945;8,592678481
2020-10-09 00:00:00;2457703;0,036421206;8295290;4,813521653;0,921642636;78,94134871;8,931206975
2020-10-10 00:00:00;2369620;0,035115886;7322810;4,765756898;0,929204217;79,79610315;10,04282642
2020-10-11 00:00:00;2234774;0,033117576;6091922;4,510294866;0,939172589;80,25361569;9,387650758
2020-10-12 00:00:00;2287202;0,033894517;6327373;4,842537737;0,936278436;79,69517409;8,807902927
2020-10-13 00:00:00;2445132;0,036234914;7822158;4,852166778;0,924696318;78,80061752;8,7992522
2020-10-14 00:00:00;2437579;0,036122985;7942622;4,683432005;0,92544065;78,28093622;8,518167608
2020-10-15 00:00:00;2436104;0,036101126;7794108;4,676391576;0,925551731;78,30860808;8,604364836
2020-10-16 00:00:00;2440717;0,036169487;7948497;4,91281916;0,924159967;78,65226138;9,109942488
2020-10-17 00:00:00;2366519;0,035069932;7265621;4,622961545;0,929696553;80,03979016;9,78579478
2020-10-18 00:00:00;2243378;0,03324508;5841368;4,643392444;0,939200326;80,42251651;9,627226398
2020-10-19 00:00:00;2367985;0,035091657;6655356;4,779844556;0,935424376;79,75581026;8,695055201
2020-10-20 00:00:00;2445808;0,036244932;8037143;4,714569579;0,924395513;78,52339538;8,551577242
2020-10-21 00:00:00;2448196;0,03628032;7921259;4,618644262;0,925203156;78,62015789;8,401549671
2020-10-22 00:00:00;2446659;0,036257543;7833832;4,734420742;0,922957096;78,24749232;8,708817336
2020-10-23 00:00:00;2462285;0,036489108;8249094;4,812077069;0,921579593;78,62465283;8,928606724
2020-10-24 00:00:00;2362054;0,035003764;7121407;4,740470787;0,931007535;79,88103304;9,997311416
2020-10-25 00:00:00;2258146;0,03346393;5899586;4,580890815;0,941279826;81,0522101;9,514723466
2020-10-26 00:00:00;2442009;0,036188634;7646976;4,731323637;0,926365739;78,99695583;8,607717547
2020-10-27 00:00:00;2445808;0,036244932;8037143;4,714569579;0,924395513;78,52339538;8,551577242
2020-10-28 00:00:00;2437162;0,036116805;7503174;4,738738906;0,918537224;78,89167335;8,61772003
2020-10-29 00:00:00;2416436;0,035809662;6852974;4,585631644;0,91553924;77,86129493;8,440996959
2020-10-30 00:00:00;2444943;0,036232113;7891583;4,775586969;0,925216805;78,92726808;8,862924544
2020-10-31 00:00:00;2362054;0,035003764;7121407;4,740470787;0,931007535;79,88103304;9,997311416
2020-11-01 00:00:00;2224030;0,032958358;5603470;4,35947383;0,944926391;80,62329393;9,116172894
2020-11-02 00:00:00;2269476;0,033631832;5812255;4,823255993;0,941681152;80,39745348;8,773195787
2020-11-03 00:00:00;2452228;0,036340071;7748584;4,728718297;0,925009694;78,85774462;8,577044934
